USDOT,Company Name,Operating status,DBA,Entity type,Operations,Classification,Docket #,DUNS #,SCAC,MCS-150 form date,MCS-150 Mileage/Year,Business address,Phone,Fax,Email,Web,Mailing address,Representative,Power units,Autonomous units,Electric units,Drivers,SmartWay,CARB TRU
106006,ROSS FURNITURE COMPANY INC,ACTIVE,,Carrier,Interstate,Private Property,,18907477,,11/05/2018,"176,866 (2017)","38 THIRD STREET DOVER, NH 03820",(603) 742-1800,(603) 742-0875,info@rossfurniture.com,,"38 THIRD STREET DOVER, NH 03820",JASON HOWARD ANDREW HOWARD,2,,,2,Not a,Not 100% compliant
106258,"LITTLE PRINCESS TRUCK RENTALS, INC.",NONE,,,,,MC127371,,,,,7 JUANITA AVENUE HUNTINGTON NY 11743,(516) 427-1010,,,,,,,,,,Not a,Not 100% compliant
106377,M. G. M. TRANSPORT CORPORATION,NONE,,,,,MC1117,,,,,1264 JACKSON LAKE ROAD HIGH POINT NC 27261,(201) 256-6500,(336) 887-4475,,,P O BOX 1823 HIGH POINT NC 27261,,,,,,Not a,Not 100% compliant
106529,BOAT CARRIER CORP.,NONE,,,,,MC117116,,,,,101-53 124TH STREET RICHMOND HILLS NY 11419,,,,,,,,,,,Not a,Not 100% compliant
106729,CONWAY TRUCKING CORPORATION,NONE,,,,,MC133785,,,,,37 SECOND STREET LYNBROOK NY 11563,,,,,,,,,,,Not a,Not 100% compliant
106869,"SUPERLINE TRANSPORTATION COMPANY, INC.",NONE,,,,,MC99737,,,,,111 BRADLEY RD E FREETOWN MA 02717,(508) 994-9688,,,,,,,,,,Not a,Not 100% compliant
106951,STANLEY SERVICE INC,AUTHORIZED FOR PROPERTY,,Carrier,Interstate,Authorized For Hire,MC113373,,,11/06/2018,"100,000 (2016)","3430 WASHINGTON ST JAMAICA PLAIN, MA 02130",(617) 522-4100,,bill.stanleytow@gmail.com,,"3430 WASHINGTON ST JAMAICA PLAIN, MA 02130",WILLIAM BLINSTRUB,8,,,8,Not a,Not 100% compliant
106953,"STATE FREIGHT, INC.",NONE,,,,,MC121288,,,,,666 SUMMER STREET BOSTON MA 02205,,,,,P O BOX 1616 BOSTON MA 02114,,,,,,Not a,Not 100% compliant
107279,"IOWA STEEL EXPRESS, INC.",NONE,,,,,MC128544,,,,,"5801 16TH AVE. S. W. CEDAR RAPIDS, IA 52406",(319) 396-1903,,,,,,,,,,Not a,Not 100% compliant
107406,NATIONAL TRUCKING INC.,NONE,,,,,MC109373,,,,,P. O. BOX 16081 HOUSTON TX 77022,,,,,,,,,,,Not a,Not 100% compliant
107820,"MIDWEST VAN & STORAGE, INC.",NONE,,,,,MC140545,,,,,"6400 CENTRAL AVENUE, N. E. MINNEAPOLIS MN 55432",(612) 571-1211,,,,,,,,,,Not a,Not 100% compliant
107888,"MUR-GAIL, INC.",NONE,,,,,MC128841,,,,,301 NORTH FIFTH STREET MINNEAPOLIS MN 55403,(612) 475-7575,,,,P. O. BOX 9348 MINNEAPOLIS MN 55440,,,,,,Not a,Not 100% compliant
107897,"MERLIN MARTIN MOVING AND STORAGE, INC.",NONE,,,,,MC139532,,,,,1306 SOUTH JEFFERSON WADENA MN 56482,(218) 631-1403,,,,,,,,,,Not a,Not 100% compliant
107936,OLD DUTCH FOODS INC,ACTIVE,,Carrier,Interstate,Private Property,,6259261,,06/14/2019,"2,493,000 (2018)","2375 TERMINAL RD SAINT PAUL, MN 55113-2530",(651) 633-8810,(651) 288-3019,erica.dwelle@olddutchfoods.com,,"P O BOX 64627 SAINT PAUL, MN 55164-0627",STEVE AANENSON ERICA DWELLE,86,,,82,Not a,Not 100% compliant
108249,EVANS TRANSPORT LLC,AUTHORIZED FOR PROPERTY,,Carrier,Interstate,Authorized For Hire,MC214435,24848822,,10/10/2020,"905,728 (2020)","160 LINNIE PERRY RD WASHINGTON, NC 27889",(252) 946-7173,(252) 946-0114,evanstransportllc@gmail.com,,"PO BOX 534 WASHINGTON, NC 27889",ARMISTEAD PERRY HEATHER PERRY,9,,,9,Not a,Not 100% compliant
108507,"LUCK'S, INC.",NONE,,,,,MC331762,,,,,798 NC HWY 705 SOUTH SEAGROVE NC 27341,(910) 873-7211,,,,P.O. BOX 510 SEAGROVE NC 27341,,,,,,Not a,Not 100% compliant
108741,HARRISON POULTRY INC,ACTIVE,,Carrier,Intrastate Non-Hazmat,Private Property,,,,11/07/2019,"3,500,000 (2018)","108 SMITH MILL RD BETHLEHEM, GA 30620",(770) 867-9105,,,,"PO BOX 550 BETHLEHEM, GA 30620",DAVID BLETH RANDY BRUCE,46,,,37,Not a,Not 100% compliant
109115,ARLEY WHOLESALE INC,ACTIVE,,Carrier,Interstate,Private Property,,3059938,,02/21/2019,"7,753,271 (2018)","700 NORTH SOUTH RD SCRANTON, PA 18504",(570) 344-9874,(800) 652-7539,dannywilliams@arleywholesale.com,,"700 NORTH SOUTH RD SCRANTON, PA 18504",DANIEL E. WILLIAMS,21,,,26,Not a,Not 100% compliant
110004,"G & W TRANSPORT, INC.",NONE,,,,,MC126383,,,,,465 EAST DIAMOND AVENUE GAITHERSBURG MD 20760,,,,,,,,,,,Not a,Not 100% compliant
110043,GUIFFRE DISTRIBUTING CO INC,NOT AUTHORIZED,,Carrier,Intrastate Non-Hazmat,Authorized For Hire Private Property,MC302200,023627714,,12/05/2007,,"6839 INDUSTRIAL RD SPRINGFIELD, VA 22151",(703) 642-1700,,,,"6839 INDUSTRIAL RD SPRINGFIELD, VA 22151",H WAYNE BIGGS,19,,,10,Not a,Not 100% compliant
110059,BOB HALL INC,ACTIVE,BOB HALL LLC,Carrier,Intrastate Non-Hazmat,Private Property,,22684427,,09/19/2019,"330,000 (2018)","5600 SE CRAIN HIGHWAY UPPER MARLBORO, MD 20772-4137",(301) 627-1900,(301) 627-0613,rhall@bobhallbud.com,,"PO BOX 1308 UPPER MARLBORO, MD 20773-1308",RICHARD B. HALL ERIC L BEST | CLARENCE A HALL,38,,,33,Not a,Not 100% compliant
111457,ROBERT E. MCGILLIVRAY,NONE,"NOYES,THE MOVER",,,,MC2709,,,,,108 PLEASANT ST. GLOUCESTER MA 01930,,,,,,,,,,,Not a,Not 100% compliant
112137,CHRIS MICHEL,ACTIVE,MICHEL FERTILIZER & EQUIPMENT CO,Carrier,Interstate,Private Property,,158654459,,10/15/2019,"50,000 (2017)","1313 SHAWNEE MOUNT VERNON, IL 62864",(618) 242-6000,(618) 242-6026,michel@mvn.net,,"1313 SHAWNEE MOUNT VERNON, IL 62864",CHRIS MICHEL,,,,1,Not a,Not 100% compliant
